TS_title,TS_artist,TS_title,TS_playlist,TS_type,TS_ISRC,TS_rank_number,TS_Year,TS_genre
positions,Ariana Grande,positions,United States Top 50,Playlist track,USUM72019412,,,
Mood (feat. iann dior),24kGoldn,Mood (feat. iann dior),United States Top 50,Playlist track,USQX92003025,,,
"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,B4 The Storm,United States Top 50,Playlist track,QZJ842000368,,,
Forever After All,Luke Combs,What You See Ain't Always What You Get (Deluxe Edition),United States Top 50,Playlist track,US6XF2000192,,,
For The Night (feat. Lil Baby & DaBaby),Pop Smoke,Shoot For The Stars Aim For The Moon,United States Top 50,Playlist track,USUM72013355,,,
WAP (feat. Megan Thee Stallion),Cardi B,WAP (feat. Megan Thee Stallion),United States Top 50,Playlist track,USAT22005111,,,
Laugh Now Cry Later (feat. Lil Durk),Drake,Laugh Now Cry Later (feat. Lil Durk),United States Top 50,Playlist track,USUG12001748,,,
What You Know Bout Love,Pop Smoke,Shoot For The Stars Aim For The Moon,United States Top 50,Playlist track,USUM72013339,,,
Tyler Herro,Jack Harlow,Tyler Herro,United States Top 50,Playlist track,USAT22006588,,,
Holy (feat. Chance The Rapper),Justin Bieber,Holy,United States Top 50,Playlist track,USUM72017013,,,
Lonely (with benny blanco),Justin Bieber,Lonely (with benny blanco),United States Top 50,Playlist track,USUM72019170,,,
Blinding Lights,The Weeknd,After Hours,United States Top 50,Playlist track,USUG11904206,,,
Come & Go (with Marshmello),Juice WRLD,Legends Never Die,United States Top 50,Playlist track,USUG12001904,,,
Put Your Records On,Ritt Momney,Put Your Records On,United States Top 50,Playlist track,USQX92004148,,,
ROCKSTAR (feat. Roddy Ricch),DaBaby,BLAME IT ON BABY,United States Top 50,Playlist track,USUM72007941,,,
Wishing Well,Juice WRLD,Legends Never Die,United States Top 50,Playlist track,USUG12001905,,,
Heather,Conan Gray,Kid Krow,United States Top 50,Playlist track,USUM71924264,,,
Dreams - 2004 Remaster,Fleetwood Mac,Rumours (Super Deluxe),United States Top 50,Playlist track,USWB11301111,,,
Watermelon Sugar,Harry Styles,Fine Line,United States Top 50,Playlist track,USSM11912587,,,
you broke me first,Tate McRae,you broke me first,United States Top 50,Playlist track,USRC12000832,,,
POPSTAR (feat. Drake),DJ Khaled,POPSTAR (feat. Drake),United States Top 50,Playlist track,USSM12004501,,,
Dynamite,BTS,Dynamite (DayTime Version),United States Top 50,Playlist track,QM7282022872,,,
Mr. Right Now (feat. Drake),21 Savage,SAVAGE MODE II,United States Top 50,Playlist track,USSM12005343,,,
"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",Jack Harlow,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix]",United States Top 50,Playlist track,USAT22003620,,,
my ex's best friend (with blackbear),Machine Gun Kelly,Tickets To My Downfall,United States Top 50,Playlist track,USUM72014730,,,
Martin & Gina,Polo G,THE GOAT,United States Top 50,Playlist track,USQX92002595,,,
Spicy (feat. Post Malone),Ty Dolla $ign,Featuring Ty Dolla $ign,United States Top 50,Playlist track,USAT22005586,,,
Wonder,Shawn Mendes,Wonder,United States Top 50,Playlist track,USUM72018522,,,
Sofia,Clairo,Immunity,United States Top 50,Playlist track,US4HB1900086,,,
SO DONE,The Kid LAROI,SO DONE,United States Top 50,Playlist track,USSM12005922,,,
Blueberry Faygo,Lil Mosey,Certified Hitmaker,United States Top 50,Playlist track,USUM72001714,,,
24 (feat. Lil Baby),Money Man,Epidemic (Deluxe),United States Top 50,Playlist track,USUYG1327132,,,
Runnin,21 Savage,SAVAGE MODE II,United States Top 50,Playlist track,USSM12005346,,,
Be Like That - feat. Swae Lee & Khalid,Kane Brown,Be Like That (feat. Swae Lee & Khalid),United States Top 50,Playlist track,USRN11900133,,,
All Girls Are The Same,Juice WRLD,Goodbye & Good Riddance,United States Top 50,Playlist track,USUG11800651,,,
Moonwalking in Calabasas (feat. Blueface) - Remix,DDG,Moonwalking in Calabasas (feat. Blueface) [Remix],United States Top 50,Playlist track,CA5KR2079526,,,
Mood Swings (feat. Lil Tjay),Pop Smoke,Shoot For The Stars Aim For The Moon,United States Top 50,Playlist track,USUM72013632,,,
Lucid Dreams,Juice WRLD,Goodbye & Good Riddance,United States Top 50,Playlist track,USUG11800685,,,
Robbery,Juice WRLD,Death Race For Love,United States Top 50,Playlist track,USUG11900302,,,
Circles,Post Malone,Hollywood's Bleeding,United States Top 50,Playlist track,USUM71915699,,,
Daisy,Ashnikko,Daisy,United States Top 50,Playlist track,GBAYE2000596,,,
PRACTICE,DaBaby,BLAME IT ON BABY (DELUXE),United States Top 50,Playlist track,USUM72015072,,,
Go Crazy,Chris Brown,Slime & B,United States Top 50,Playlist track,USRC12001468,,,
Wolves (feat. Post Malone),Big Sean,Detroit 2,United States Top 50,Playlist track,USUM72016329,,,
Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,United States Top 50,Playlist track,DEUM71807062,,,
7 Summers,Morgan Wallen,7 Summers,United States Top 50,Playlist track,QZ22S1800133,,,
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,Hollywood's Bleeding,United States Top 50,Playlist track,USUM71814888,,,
Before You Go,Lewis Capaldi,Divinely Uninspired To A Hellish Extent (Extended Edition),United States Top 50,Playlist track,DEUM71905868,,,
Levitating (feat. DaBaby),Dua Lipa,Future Nostalgia,United States Top 50,Playlist track,GBAHT2000942,,,
Golden,Harry Styles,Fine Line,United States Top 50,Playlist track,USSM11912586,,,